date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:23	117/117	---M-Z	200	added ('OK')	text/plain	date:Thu,%2007%20Oct%202021%2009:54:21%20GMT	https://sedra-center.com/robots.txt		(from )
11:54:23	89734/89734	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Oct%202021%2009:54:22%20GMT	https://sedra-center.com/	E:/Sedra%20Center/Offline%20Wordpress%20Site/Sedra%20Center/sedra-center.com/index.html	(from )
11:54:23	71956/71956	---M-Z	200	added ('OK')	text/css	etag:%2211914-615e01c7-1a0f27;gz%22	https://sedra-center.com/wp-content/litespeed/ucss/099e2aca6c2f0d72ceca3f5789a68a99.css?ver=d6ca1	E:/Sedra%20Center/Offline%20Wordpress%20Site/Sedra%20Center/sedra-center.com/wp-content/litespeed/ucss/099e2aca6c2f0d72ceca3f5789a68a996342.css	(from https://sedra-center.com/)
11:54:32	161177/161177	---M--	200	added ('OK')	image/jpeg	etag:%2227599-615e01c7-1a0d0d;;;%22	https://sedra-center.com/wp-content/uploads/2021/07/Rania-wide-2.jpg	E:/Sedra%20Center/Offline%20Wordpress%20Site/Sedra%20Center/sedra-center.com/wp-content/uploads/2021/07/Rania-wide-2.jpg	(from https://sedra-center.com/)
11:54:33	124117/124117	---M-Z	200	added ('OK')	application/json	date:Thu,%2007%20Oct%202021%2009:54:32%20GMT	https://sedra-center.com/wp-json/	E:/Sedra%20Center/Offline%20Wordpress%20Site/Sedra%20Center/sedra-center.com/wp-json/index.html	(from https://sedra-center.com/)
11:54:33	810/810	---M-Z	200	added ('OK')	text/xml	date:Thu,%2007%20Oct%202021%2009:54:32%20GMT	https://sedra-center.com/xmlrpc.php?rsd	E:/Sedra%20Center/Offline%20Wordpress%20Site/Sedra%20Center/sedra-center.com/xmlrpc0db0.php	(from https://sedra-center.com/)
11:54:33	1674/1674	---M-Z	200	added ('OK')	application/rss+xml	etag:%22f3de87b9e6ddf6aacedcc8a52045f209%22	https://sedra-center.com/comments/feed/	E:/Sedra%20Center/Offline%20Wordpress%20Site/Sedra%20Center/sedra-center.com/comments/feed/index.html	(from https://sedra-center.com/)
11:54:33	1927/1927	---M-Z	200	added ('OK')	application/rss+xml	etag:%22e79ec51177b1a153db24e7653c4d9704%22	https://sedra-center.com/feed/	E:/Sedra%20Center/Offline%20Wordpress%20Site/Sedra%20Center/sedra-center.com/feed/index.html	(from https://sedra-center.com/)
11:54:34	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-615e0019-81ff6;gz%22	https://sedra-center.com/wp-includes/wlwmanifest.xml	E:/Sedra%20Center/Offline%20Wordpress%20Site/Sedra%20Center/sedra-center.com/wp-includes/wlwmanifest.xml	(from https://sedra-center.com/)
11:54:34	2269/2269	---M-Z	200	added ('OK')	application/json	date:Thu,%2007%20Oct%202021%2009:54:33%20GMT	https://sedra-center.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsedra-center.com%2F	E:/Sedra%20Center/Offline%20Wordpress%20Site/Sedra%20Center/sedra-center.com/wp-json/oembed/1.0/embed63b5.json	(from https://sedra-center.com/)
11:54:34	2363/2363	---M-Z	200	added ('OK')	text/xml	date:Thu,%2007%20Oct%202021%2009:54:33%20GMT	https://sedra-center.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsedra-center.com%2F&format=xml	E:/Sedra%20Center/Offline%20Wordpress%20Site/Sedra%20Center/sedra-center.com/wp-json/oembed/1.0/embedfecf	(from https://sedra-center.com/)
11:54:34	4027/4027	---M--	200	added ('OK')	image/jpeg	etag:%22fbb-615e01c7-1a0e1b;;;%22	https://sedra-center.com/wp-content/uploads/2020/10/Sedra-Logo-512x512-1-150x150.jpg	E:/Sedra%20Center/Offline%20Wordpress%20Site/Sedra%20Center/sedra-center.com/wp-content/uploads/2020/10/Sedra-Logo-512x512-1-150x150.jpg	(from https://sedra-center.com/)
11:54:35	9451/9451	---M--	200	added ('OK')	image/jpeg	etag:%2224eb-615e01c7-1a0de2;;;%22	https://sedra-center.com/wp-content/uploads/2020/10/Sedra-Logo-512x512-1-300x300.jpg	E:/Sedra%20Center/Offline%20Wordpress%20Site/Sedra%20Center/sedra-center.com/wp-content/uploads/2020/10/Sedra-Logo-512x512-1-300x300.jpg	(from https://sedra-center.com/)
11:54:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Oct%202021%2009:54:34%20GMT	https://sedra-center.com/%22data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20preserveAspectRatio='none'%20overflow='visible'%20height='100%'%20viewBox='0%200%2024%2024'%20fill='black'%20stroke='none'%3E%3Cpolygon%20points='9.4,2%2024,2%2014.6,21.6%200,21.6'/%3E%3C/svg%3E%22	E:/Sedra%20Center/Offline%20Wordpress%20Site/Sedra%20Center/sedra-center.com/_data_image/svg+xml,_svg%20xmlns='http_/www.w3.org/2000/svg'%20preserveAspectRatio='none'%20overflow='visib/__/svg__	(from https://sedra-center.com/)
11:54:36	81700/81700	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Oct%202021%2009:54:34%20GMT	https://sedra-center.com/all-courses/	E:/Sedra%20Center/Offline%20Wordpress%20Site/Sedra%20Center/sedra-center.com/all-courses/index.html	(from https://sedra-center.com/)
11:54:36	70782/70782	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Oct%202021%2009:54:35%20GMT	https://sedra-center.com/arabic-for-kids/	E:/Sedra%20Center/Offline%20Wordpress%20Site/Sedra%20Center/sedra-center.com/arabic-for-kids/index.html	(from https://sedra-center.com/)
